On Track!CX : 100  CY : 239
On Track!CX : 99  CY : 239
On Track!CX : 98  CY : 239
On Track!CX : 97  CY : 238
On Track!CX : 97  CY : 239
On Track!CX : 97  CY : 239
On Track!CX : 97  CY : 238
On Track!CX : 97  CY : 239
On Track!CX : 97  CY : 239
On Track!CX : 97  CY : 239
On Track!CX : 96  CY : 239
On Track!CX : 96  CY : 239
On Track!CX : 96  CY : 239
On Track!CX : 95  CY : 238
On Track!CX : 96  CY : 239
On Track!CX : 96  CY : 239
On Track!CX : 96  CY : 239
On Track!CX : 96  CY : 239
On Track!CX : 95  CY : 238
On Track!CX : 95  CY : 239
On Track!CX : 94  CY : 239
On Track!CX : 93  CY : 238
On Track!CX : 93  CY : 239
On Track!CX : 92  CY : 240
On Track!CX : 91  CY : 240
On Track!CX : 91  CY : 240
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 241
On Track!CX : 89  CY : 241
On Track!CX : 89  CY : 241
On Track!CX : 89  CY : 241
On Track!CX : 89  CY : 241
On Track!CX : 90  CY : 240
On Track!CX : 89  CY : 240
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 88  CY : 239
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 241
On Track!CX : 89  CY : 241
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 241
On Track!CX : 89  CY : 240
On Track!CX : 90  CY : 240
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 241
On Track!CX : 90  CY : 240
On Track!CX : 91  CY : 240
On Track!CX : 91  CY : 240
On Track!CX : 91  CY : 240
On Track!CX : 91  CY : 241
On Track!CX : 92  CY : 241
On Track!CX : 95  CY : 243
On Track!CX : 102  CY : 247
On Track!CX : 113  CY : 252
On Track!CX : 128  CY : 258
Turn LeftCX : 148  CY : 260
Turn LeftCX : 167  CY : 260
Turn LeftCX : 182  CY : 260
Turn LeftCX : 191  CY : 259
Turn LeftCX : 198  CY : 257
Turn LeftCX : 203  CY : 257
Turn LeftCX : 208  CY : 253
Turn LeftCX : 214  CY : 252
Turn LeftCX : 218  CY : 251
Turn LeftCX : 225  CY : 248
Turn LeftCX : 228  CY : 248
Turn LeftCX : 233  CY : 246
Turn LeftCX : 236  CY : 244
Turn LeftCX : 243  CY : 239
Turn LeftCX : 249  CY : 231
Turn LeftCX : 245  CY : 220
Turn LeftCX : 241  CY : 204
Turn LeftCX : 224  CY : 187
Turn LeftCX : 369  CY : 422
Turn LeftCX : 366  CY : 419
Turn LeftCX : 366  CY : 418
Turn LeftCX : 365  CY : 418
Turn LeftCX : 366  CY : 419
Turn LeftCX : 366  CY : 421
Turn LeftCX : 365  CY : 423
Turn LeftCX : 367  CY : 427
Turn LeftCX : 366  CY : 428
Turn LeftCX : 368  CY : 430
Turn LeftCX : 300  CY : 181
Turn LeftCX : 308  CY : 200
Turn LeftCX : 306  CY : 236
Turn LeftCX : 306  CY : 289
Turn LeftCX : 299  CY : 318
Turn LeftCX : 290  CY : 333
Turn LeftCX : 284  CY : 343
Turn LeftCX : 277  CY : 345
Turn LeftCX : 273  CY : 356
Turn LeftCX : 267  CY : 280
Turn LeftCX : 266  CY : 278
Turn LeftCX : 268  CY : 278
Turn LeftCX : 268  CY : 279
Turn LeftCX : 267  CY : 281
Turn LeftCX : 262  CY : 276
Turn LeftCX : 265  CY : 282
Turn LeftCX : 255  CY : 276
Turn LeftCX : 260  CY : 264
Turn LeftCX : 251  CY : 263
Turn LeftCX : 259  CY : 266
Turn LeftCX : 270  CY : 372
Turn LeftCX : 256  CY : 254
Turn LeftCX : 259  CY : 258
Turn LeftCX : 270  CY : 371
Turn LeftCX : 271  CY : 374
Turn LeftCX : 270  CY : 366
Turn LeftCX : 266  CY : 250
Turn LeftCX : 264  CY : 251
Turn LeftCX : 271  CY : 361
Turn LeftCX : 263  CY : 252
Turn LeftCX : 272  CY : 357
Turn LeftCX : 256  CY : 122
Turn LeftCX : 274  CY : 255
Turn LeftCX : 270  CY : 253
Turn LeftCX : 272  CY : 252
Turn LeftCX : 270  CY : 252
Turn LeftCX : 270  CY : 252
Turn LeftCX : 270  CY : 251
Turn LeftCX : 267  CY : 248
Turn LeftCX : 264  CY : 240
Turn LeftCX : 267  CY : 243
Turn LeftCX : 272  CY : 251
Turn LeftCX : 268  CY : 231
Turn LeftCX : 250  CY : 207
Turn LeftCX : 261  CY : 232
Turn LeftCX : 243  CY : 66
Turn LeftCX : 243  CY : 116
Turn LeftCX : 276  CY : 73
Turn LeftCX : 241  CY : 27
Turn LeftCX : 274  CY : 36
Turn LeftCX : 213  CY : 130
Turn LeftCX : 208  CY : 124
Turn LeftCX : 24  CY : 26
Turn RightCX : 20  CY : 21
Turn RightCX : 240  CY : 31
Turn LeftCX : 232  CY : 1
Turn LeftCX : 238  CY : 0
Turn LeftCX : 256  CY : 3
Turn LeftCX : 238  CY : 3
Turn LeftCX : 233  CY : 2
Turn LeftCX : 257  CY : 1
Turn LeftCX : 263  CY : 2
Turn LeftCX : 265  CY : 1
Turn LeftCX : 276  CY : 1
Turn LeftCX : 259  CY : 2
Turn LeftCX : 269  CY : 2
Turn LeftCX : 268  CY : 2
Turn LeftCX : 264  CY : 29
Turn Left
